Nr		,t`s,Ch 00`V,Ch 01`V,Ch 02`V
299		,0.149000,-0.002729,0.206069,-0.000253
300		,0.149500,-0.001601,0.204008,-0.000253
301		,0.150000,-0.000635,0.201657,-0.000189
302		,0.150500,0.000170,0.200208,-0.000189
303		,0.151000,-0.001440,0.199258,-0.000221
304		,0.151500,-0.003695,0.199113,-0.000286
305		,0.152000,-0.004500,0.199725,-0.000446
306		,0.152500,-0.005144,0.200353,-0.000092
307		,0.153000,-0.006916,0.201577,0.000004
308		,0.153500,-0.007238,0.202865,0.000069
309		,0.154000,-0.007560,0.204120,0.000197
310		,0.154500,-0.008043,0.205280,-0.000125
311		,0.155000,-0.007399,0.206423,-0.000157
312		,0.155500,-0.008043,0.207340,-0.000028
313		,0.156000,-0.008043,0.208306,0.000004
314		,0.156500,-0.007882,0.208773,0.000004
315		,0.157000,-0.007077,0.209289,-0.000125
316		,0.157500,-0.007238,0.209369,-0.000092
317		,0.158000,-0.006271,0.208773,-0.000060
318		,0.158500,-0.005305,0.207421,-0.000060
319		,0.159000,-0.003373,0.205908,-0.000028
320		,0.159500,-0.002407,0.203605,-0.000125
321		,0.160000,-0.000796,0.201448,0.000036
322		,0.160500,-0.001440,0.198405,0.000069
323		,0.161000,-0.002729,0.198019,-0.000125
324		,0.161500,-0.003695,0.197761,0.000069
325		,0.162000,-0.005144,0.198341,-0.000318
326		,0.162500,-0.005788,0.199210,-0.000221
327		,0.163000,-0.006916,0.200659,-0.000157
328		,0.163500,-0.007560,0.202446,-0.000125
329		,0.164000,-0.009009,0.203815,-0.000286
330		,0.164500,-0.009170,0.205618,-0.000221
331		,0.165000,-0.008526,0.206793,-0.000221
332		,0.165500,-0.008365,0.207453,-0.000125
333		,0.166000,-0.008848,0.208612,-0.000189
334		,0.166500,-0.008526,0.209321,-0.000607
335		,0.167000,-0.007560,0.209208,-0.000253
336		,0.167500,-0.005788,0.209433,-0.000318
337		,0.168000,-0.004983,0.208789,-0.000382
338		,0.168500,-0.003695,0.207614,-0.000028
339		,0.169000,-0.002568,0.206004,-0.000060
340		,0.169500,-0.001118,0.204217,-0.000189
341		,0.170000,-0.000313,0.201545,-0.000286
342		,0.170500,-0.000152,0.200353,-0.000414
343		,0.171000,-0.001440,0.199178,-0.000060
344		,0.171500,-0.003695,0.199146,-0.000350
345		,0.172000,-0.004339,0.199484,-0.000189
346		,0.172500,-0.005144,0.200257,-0.000189
347		,0.173000,-0.006432,0.201528,0.000133
348		,0.173500,-0.006916,0.203042,0.000197
349		,0.174000,-0.007399,0.204378,0.000036
350		,0.174500,-0.007882,0.205280,0.000069
351		,0.175000,-0.007882,0.206503,-0.000253
352		,0.175500,-0.007560,0.207840,-0.000125
353		,0.176000,-0.007077,0.208162,-0.000092
354		,0.176500,-0.008365,0.209224,-0.000125
355		,0.177000,-0.007238,0.209353,-0.000189
