Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
403		,0.100500,0.795527,0.266201,-0.000474
404		,0.100750,0.687794,0.265879,-0.000635
405		,0.101000,0.567016,0.266201,-0.000474
406		,0.101250,0.438510,0.265879,-0.000635
407		,0.101500,0.298247,0.266040,-0.000474
408		,0.101750,0.126905,0.265879,-0.000474
409		,0.102000,-0.081475,0.265074,-0.000796
410		,0.102250,-0.276167,0.265718,-0.000635
411		,0.102500,-0.439779,0.265718,-0.000474
412		,0.102750,-0.588575,0.265718,-0.000152
413		,0.103000,-0.728676,0.265718,-0.000152
414		,0.103250,-0.850257,0.266040,-0.000474
415		,0.103500,-0.967008,0.265879,-0.000152
416		,0.103750,-1.099057,0.266684,-0.000152
417		,0.104000,-1.225469,0.266523,-0.000474
418		,0.104250,-1.344796,0.266523,-0.000474
419		,0.104500,-1.463479,0.266684,-0.000313
420		,0.104750,-1.569118,0.265879,-0.000313
421		,0.105000,-1.633049,0.267167,-0.000474
422		,0.105250,-1.653823,0.267489,-0.000474
423		,0.105500,-1.671376,0.267650,-0.000474
424		,0.105750,-1.677978,0.268133,-0.000474
425		,0.106000,-1.678139,0.267167,-0.000635
426		,0.106250,-1.682970,0.267972,-0.000635
427		,0.106500,-1.695370,0.268778,-0.000474
428		,0.106750,-1.702455,0.268939,-0.000796
429		,0.107000,-1.699235,0.269261,-0.000474
430		,0.107250,-1.688928,0.268778,-0.000635
431		,0.107500,-1.666706,0.269100,-0.000474
432		,0.107750,-1.640618,0.269744,-0.000796
433		,0.108000,-1.617751,0.269261,-0.000796
434		,0.108250,-1.598749,0.269100,-0.000313
435		,0.108500,-1.570729,0.269261,-0.000635
436		,0.108750,-1.537716,0.269261,-0.000152
437		,0.109000,-1.486507,0.269261,-0.000635
438		,0.109250,-1.391174,0.269422,-0.000474
439		,0.109500,-1.277162,0.269261,-0.000635
440		,0.109750,-1.160572,0.269583,-0.000313
441		,0.110000,-1.043339,0.269100,-0.000635
442		,0.110250,-0.920630,0.269583,-0.000313
443		,0.110500,-0.805329,0.269422,-0.000313
444		,0.110750,-0.696469,0.269261,-0.000796
445		,0.111000,-0.574726,0.269583,-0.000313
446		,0.111250,-0.445898,0.269261,-0.000313
447		,0.111500,-0.305475,0.269744,-0.000474
448		,0.111750,-0.131235,0.270227,-0.000635
449		,0.112000,0.078916,0.270227,-0.000474
450		,0.112250,0.271998,0.270227,-0.000313
451		,0.112500,0.433517,0.270066,-0.001601
452		,0.112750,0.581993,0.269583,-0.000635
453		,0.113000,0.719518,0.270388,-0.000635
454		,0.113250,0.839973,0.270710,-0.000474
455		,0.113500,0.957530,0.270549,-0.000635
456		,0.113750,1.090063,0.271193,-0.000474
457		,0.114000,1.216156,0.270227,-0.000313
458		,0.114250,1.335645,0.271193,-0.000635
459		,0.114500,1.455135,0.271032,-0.000796
460		,0.114750,1.558683,0.271354,-0.000474
461		,0.115000,1.617140,0.270871,-0.001118
462		,0.115250,1.638075,0.270227,-0.000635
463		,0.115500,1.652729,0.270066,-0.000313
464		,0.115750,1.660620,0.269905,-0.000474
465		,0.116000,1.661425,0.269583,-0.000474
466		,0.116250,1.667223,0.269422,-0.001440
467		,0.116500,1.681233,0.269261,-0.000152
468		,0.116750,1.686064,0.269100,-0.000474
469		,0.117000,1.683004,0.269100,-0.000635
470		,0.117250,1.672537,0.269100,-0.000635
471		,0.117500,1.647415,0.268294,0.000009
472		,0.117750,1.622132,0.267811,-0.000313
473		,0.118000,1.599103,0.268456,-0.000635
474		,0.118250,1.579940,0.268133,-0.000474
475		,0.118500,1.551275,0.268133,-0.000313
476		,0.118750,1.518584,0.267811,-0.000313
477		,0.119000,1.463026,0.267650,-0.000474
478		,0.119250,1.364310,0.268133,-0.000313
479		,0.119500,1.249812,0.267650,-0.000474
480		,0.119750,1.132738,0.267811,-0.000313
481		,0.120000,1.015020,0.267811,-0.000474
482		,0.120250,0.892149,0.267972,-0.000474
483		,0.120500,0.778135,0.268133,-0.000474
484		,0.120750,0.668469,0.268133,-0.000474
485		,0.121000,0.546404,0.268133,-0.000474
486		,0.121250,0.415320,0.268617,-0.000635
487		,0.121500,0.273609,0.268456,-0.000313
488		,0.121750,0.096308,0.268778,-0.000474
489		,0.122000,-0.112877,0.268294,-0.000635
490		,0.122250,-0.305153,0.268617,-0.000474
491		,0.122500,-0.464739,0.269261,-0.000474
492		,0.122750,-0.612409,0.268778,-0.000635
493		,0.123000,-0.749288,0.268617,-0.000474
494		,0.123250,-0.866844,0.268778,-0.000635
495		,0.123500,-0.984239,0.267972,-0.000474
496		,0.123750,-1.119347,0.268456,-0.000635
497		,0.124000,-1.242378,0.268617,-0.000474
498		,0.124250,-1.362027,0.268294,-0.000474
499		,0.124500,-1.480871,0.268617,-0.000796
500		,0.124750,-1.581840,0.268133,-0.000474
501		,0.125000,-1.637075,0.267972,-0.000635
502		,0.125250,-1.655272,0.268456,-0.000313
503		,0.125500,-1.670248,0.268294,-0.000635
504		,0.125750,-1.675401,0.268617,-0.000474
505		,0.126000,-1.676690,0.268133,-0.000635
506		,0.126250,-1.682809,0.267650,-0.000474
507		,0.126500,-1.698107,0.267972,-0.000474
508		,0.126750,-1.701167,0.267811,-0.000313
509		,0.127000,-1.697141,0.267811,-0.000635
