Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
275		,0.137000,-2.413427,-0.000350,0.352677
276		,0.137500,-1.879594,-0.000350,0.352999
277		,0.138000,-1.313072,-0.000736,0.352999
278		,0.138500,-0.678755,-0.000446,0.352999
279		,0.139000,-0.103698,-0.000607,0.352677
280		,0.139500,0.468140,-0.000801,0.351711
281		,0.140000,0.989576,-0.000897,0.351389
282		,0.140500,1.557717,-0.001444,0.350906
283		,0.141000,2.067243,-0.000833,0.350262
284		,0.141500,2.502373,-0.000962,0.350101
285		,0.142000,2.896763,-0.000865,0.349940
286		,0.142500,3.184707,-0.000897,0.349296
287		,0.143000,3.453650,-0.000865,0.349457
288		,0.143500,3.639495,-0.000801,0.349940
289		,0.144000,3.739826,-0.000092,0.349618
290		,0.144500,3.748361,-0.000446,0.349618
291		,0.145000,3.609057,-0.000318,0.349779
292		,0.145500,3.391004,-0.000286,0.350101
293		,0.146000,3.091624,-0.000157,0.350262
294		,0.146500,2.753919,0.000294,0.349779
295		,0.147000,2.301556,0.000230,0.349779
296		,0.147500,1.755633,0.000101,0.348651
297		,0.148000,1.187491,0.000391,0.348651
298		,0.148500,0.547048,0.000294,0.348651
299		,0.149000,-0.013679,0.000423,0.348168
300		,0.149500,-0.579235,-0.000318,0.348168
301		,0.150000,-1.098574,0.000423,0.347846
302		,0.150500,-1.654628,0.000745,0.348168
303		,0.151000,-2.158669,0.000873,0.348490
304		,0.151500,-2.570921,0.000487,0.348812
305		,0.152000,-2.940821,0.000487,0.349457
306		,0.152500,-3.217482,0.000551,0.348973
307		,0.153000,-3.477397,0.000487,0.349296
308		,0.153500,-3.664200,0.000230,0.348812
309		,0.154000,-3.756475,0.000680,0.348651
310		,0.154500,-3.744719,0.000391,0.347685
311		,0.155000,-3.573536,0.000165,0.347685
312		,0.155500,-3.326504,-0.000253,0.347202
313		,0.156000,-3.031002,-0.000318,0.346075
314		,0.156500,-2.684290,0.000004,0.345592
315		,0.157000,-2.230652,-0.000479,0.345109
316		,0.157500,-1.680233,-0.000672,0.344626
317		,0.158000,-1.099701,0.000809,0.344142
318		,0.158500,-0.471503,-0.000768,0.344303
319		,0.159000,0.103877,-0.000897,0.343981
320		,0.159500,0.634652,-0.000865,0.344142
321		,0.160000,1.147715,-0.000833,0.344142
322		,0.160500,1.702651,-0.000962,0.344303
323		,0.161000,2.193337,-0.001090,0.344303
324		,0.161500,2.589174,-0.001026,0.344142
325		,0.162000,2.920920,-0.000640,0.343659
326		,0.162500,3.202905,-0.000801,0.343659
327		,0.163000,3.451717,-0.000736,0.343337
328		,0.163500,3.627094,-0.000704,0.342854
329		,0.164000,3.715669,-0.001380,0.342693
330		,0.164500,3.664779,-0.000511,0.342371
331		,0.165000,3.478128,-0.000672,0.341566
332		,0.165500,3.205804,-0.000060,0.341083
333		,0.166000,2.918665,-0.000382,0.341566
334		,0.166500,2.568400,0.000197,0.342532
335		,0.167000,2.108630,0.000230,0.342049
336		,0.167500,1.556750,-0.000286,0.341888
337		,0.168000,0.958174,0.000423,0.341244
338		,0.168500,0.352194,0.000487,0.340600
339		,0.169000,-0.208532,0.000551,0.339955
340		,0.169500,-0.742364,0.000391,0.339794
341		,0.170000,-1.250591,0.000970,0.338989
342		,0.170500,-1.803586,0.000712,0.338667
343		,0.171000,-2.268495,0.000487,0.339150
344		,0.171500,-2.653532,0.000616,0.339311
